City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
141,Manta,40,EC,1680569218,83,-0.95,-80.7333,26.88,2.57
142,Kozulka,17,UA,1680569218,94,50.0351,23.797,-4.34,1.79
143,Alekseyevsk,100,RU,1680569218,94,57.8406,108.3492,-3.79,6.26
144,Pontianak,20,ID,1680569059,94,-0.0333,109.3333,22.99,2.06
145,La Unión,100,PE,1680569218,76,-5.4,-80.75,27.45,4.85
146,Barrow,75,US,1680569219,72,71.2906,-156.7887,-14.99,5.66
147,Poum,65,NC,1680569219,79,-20.2333,164.0167,27.88,7.25
148,Ban Nahin,0,LA,1680569219,53,18.2418,104.2122,29.74,1.57
149,Ponta Delgada,20,PT,1680569219,76,37.7333,-25.6667,13.4,2.06
150,São José da Coroa Grande,50,BR,1680569219,79,-8.8978,-35.1478,25.8,2.34
151,Sabang,98,ID,1680569219,74,5.8933,95.3214,27.22,1.31
152,Saint George,100,US,1680569002,76,37.1041,-113.5841,4.33,9.26
153,Aswān,0,EG,1680569220,13,24.0934,32.907,21.61,3.09
154,Turukhansk,25,RU,1680569220,96,65.8167,87.9833,-27.02,2.91
155,Benguela,100,AO,1680569220,85,-12.5763,13.4055,25.85,2.39
156,Coatzintla,40,MX,1680568905,74,20.4833,-97.45,30.32,5.14
157,Lowestoft,5,GB,1680569220,66,52.4752,1.7516,4.02,4.55
158,Madimba,28,TZ,1680569220,92,-10.4,40.3333,24.01,2.93
159,Yenangyaung,6,MM,1680569220,60,20.4667,94.8833,25.31,0.48
160,Grindavik,100,IS,1680569221,100,63.8424,-22.4338,8.97,11.83
161,Padang,53,ID,1680569221,79,-0.9492,100.3543,25.03,1.21
162,Kamaishi,1,JP,1680569221,49,39.2667,141.8833,12.79,2.37
163,Nikolskoye,100,RU,1680569221,96,59.7035,30.7861,-1.06,2.94
164,La Plaine,40,DM,1680569222,81,15.3333,-61.25,24.8,6.15
165,Chicama,80,PE,1680569222,72,-7.8447,-79.1469,27.3,2.59
166,Hermanus,100,ZA,1680569222,81,-34.4187,19.2345,16.3,2.05
167,Lázaro Cárdenas,0,MX,1680569211,67,17.9583,-102.2,26.29,3.85
168,Cape Town,0,ZA,1680568980,85,-33.9258,18.4232,19.1,0.51
169,Los Gatos,20,US,1680569223,53,37.2266,-121.9747,12.86,9.26
170,Denia,100,ES,1680569223,57,38.8408,0.1057,13.8,1.34
171,Karratha,57,AU,1680568980,62,-20.7377,116.8463,29.44,2.23
172,Ixtapa,20,MX,1680569224,69,20.7,-105.2,25.57,4.12
173,Broome,100,US,1680569224,44,42.2506,-75.833,15.21,3.6
174,Balabac,92,PH,1680569224,69,7.9868,117.0645,28.47,1.14
175,Caravelas,100,BR,1680569224,73,-17.7125,-39.2481,25.11,3.79
176,Powell River,40,CA,1680569224,53,49.8496,-124.5361,11.3,5.14
177,Denpasar,75,ID,1680568896,94,-8.65,115.2167,26.81,3.6
178,Rawson,1,AR,1680569225,59,-43.3002,-65.1023,16.05,6.3
179,Vigía del Fuerte,58,CO,1680569225,91,6.5789,-76.8863,25.73,0.44
180,Shingū,98,JP,1680569225,70,33.7333,135.9833,16.21,1.76
181,Acapulco de Juárez,40,MX,1680569225,70,16.8634,-99.8901,28.9,3.6
182,Jiangyou,100,CN,1680569226,81,31.7667,104.7167,13.96,0.91
